outbound_miles,base_std_hrs,base_std_billable_amt
396,13.5,1516
397,13.5,1516
398,13.5,1516
399,13.5,1516
400,13.5,1516
401,13.5,1516
402,13.5,1516
403,13.5,1516
404,13.5,1516
405,13.5,1516
406,13.5,1516
407,13.5,1516
408,13.5,1516
409,14,1572
410,14,1572
411,14,1572
412,14,1572
413,14,1572
414,14,1572
415,14,1572
416,14,1572
417,14,1572
418,14,1572
419,14,1572
420,14,1572
421,14,1572
422,14,1572
423,14,1572
424,14,1572
425,14.5,1628
426,14.5,1628
427,14.5,1628
428,14.5,1628
429,14.5,1628
430,14.5,1628
431,14.5,1628
432,14.5,1628
433,14.5,1628
434,14.5,1628
435,14.5,1628
436,14.5,1628
437,14.5,1628
438,14.5,1628
439,14.5,1628
440,14.5,1628
441,15,1684
442,15,1684
443,15,1684
444,15,1684
445,15,1684
446,15,1684
447,15,1684
448,15,1684
449,15,1684
450,15,1684
451,15,1684
452,15,1684
453,15,1684
454,15,1684
455,15,1684
456,15,1684
457,15.5,1741
458,15.5,1741
459,15.5,1741
460,15.5,1741
461,15.5,1741
462,15.5,1741
463,15.5,1741
464,15.5,1741
465,15.5,1741
466,15.5,1741
467,15.5,1741
468,15.5,1741
469,15.5,1741
470,15.5,1741
471,15.5,1741
472,15.5,1741
473,16,1797
474,16,1797
475,16,1797
476,16,1797
477,16,1797
478,16,1797
479,16,1797
480,16,1797
481,16,1797
482,16,1797
483,16,1797
484,16,1797
485,16,1797
486,16,1797
487,16,1797
488,16,1797
489,16.5,1853
490,16.5,1853
491,16.5,1853
492,16.5,1853
493,16.5,1853
494,16.5,1853
495,16.5,1853
496,16.5,1853
497,16.5,1853
498,16.5,1853
499,16.5,1853
500,16.5,1853
501,16.5,1853
502,16.5,1853
503,16.5,1853
504,16.5,1853
505,17,1909
506,17,1909
507,17,1909
508,17,1909
509,17,1909
510,17,1909
511,17,1909
512,17,1909
513,17,1909
514,17,1909
515,17,1909
516,17,1909
517,17,1909
518,17,1909
519,17,1909
520,17,1909
521,17.5,1965
522,17.5,1965
523,17.5,1965
524,17.5,1965
525,17.5,1965
526,17.5,1965
527,17.5,1965
528,17.5,1965
529,17.5,1965
530,17.5,1965
531,17.5,1965
532,17.5,1965
533,17.5,1965
534,17.5,1965
535,17.5,1965
536,17.5,1965
537,18,2021
538,18,2021
539,18,2021
540,18,2021
541,18,2021
542,18,2021
543,18,2021
544,18,2021
545,18,2021
546,18,2021
547,18,2021
548,18,2021
549,18,2021
550,18,2021
551,18,2021
552,18,2021
553,18.5,2077
554,18.5,2077
555,18.5,2077
556,18.5,2077
557,18.5,2077
558,18.5,2077
559,18.5,2077
560,18.5,2077
561,18.5,2077
562,18.5,2077
563,18.5,2077
564,18.5,2077
565,18.5,2077
566,18.5,2077
567,18.5,2077
568,18.5,2077
569,19,2133
570,19,2133
571,19,2133
572,19,2133
573,19,2133
574,19,2133
575,19,2133
576,19,2133
577,19,2133
578,19,2133
579,19,2133
580,19,2133
581,19,2133
582,19,2133
583,19,2133
584,19,2133
585,19.5,2190
586,19.5,2190
587,19.5,2190
588,19.5,2190
589,19.5,2190
590,19.5,2190
591,19.5,2190
592,19.5,2190
593,19.5,2190
594,19.5,2190
595,19.5,2190
596,19.5,2190
597,19.5,2190
598,19.5,2190
599,19.5,2190
600,19.5,2190
601,20,2246
602,20,2246
603,20,2246
604,20,2246
605,20,2246
606,20,2246
607,20,2246
608,20,2246
609,20,2246
610,20,2246
611,20,2246
612,20,2246
613,20,2246
614,20,2246
615,20,2246
616,20,2246
617,20.5,2302
618,20.5,2302
619,20.5,2302
620,20.5,2302
621,20.5,2302
622,20.5,2302
