outbound_miles,base_std_hrs,base_std_billable_amt
393,14.5,1628
394,14.5,1628
395,14.5,1628
396,14.5,1628
397,14.5,1628
398,14.5,1628
399,14.5,1628
400,14.5,1628
401,14.5,1628
402,14.5,1628
403,14.5,1628
404,14.5,1628
405,14.5,1628
406,14.5,1628
407,14.5,1628
408,14.5,1628
409,15,1684
410,15,1684
411,15,1684
412,15,1684
413,15,1684
414,15,1684
415,15,1684
416,15,1684
417,15,1684
418,15,1684
419,15,1684
420,15,1684
421,15,1684
422,15,1684
423,15,1684
424,15,1684
425,15.5,1741
426,15.5,1741
427,15.5,1741
428,15.5,1741
429,15.5,1741
430,15.5,1741
431,15.5,1741
432,15.5,1741
433,15.5,1741
434,15.5,1741
435,15.5,1741
436,15.5,1741
437,15.5,1741
438,15.5,1741
439,15.5,1741
440,15.5,1741
441,16,1797
442,16,1797
443,16,1797
444,16,1797
445,16,1797
446,16,1797
447,16,1797
448,16,1797
449,16,1797
450,16,1797
451,16,1797
452,16,1797
453,16,1797
454,16,1797
455,16,1797
456,16,1797
457,16.5,1853
458,16.5,1853
459,16.5,1853
460,16.5,1853
461,16.5,1853
462,16.5,1853
463,16.5,1853
464,16.5,1853
465,16.5,1853
466,16.5,1853
467,16.5,1853
468,16.5,1853
469,16.5,1853
470,16.5,1853
471,16.5,1853
472,16.5,1853
473,17,1909
474,17,1909
475,17,1909
476,17,1909
477,17,1909
478,17,1909
479,17,1909
480,17,1909
481,17,1909
482,17,1909
483,17,1909
484,17,1909
485,17,1909
486,17,1909
487,17,1909
488,17,1909
489,17.5,1965
490,17.5,1965
491,17.5,1965
492,17.5,1965
493,17.5,1965
494,17.5,1965
495,17.5,1965
496,17.5,1965
497,17.5,1965
498,17.5,1965
499,17.5,1965
500,17.5,1965
501,17.5,1965
502,17.5,1965
503,17.5,1965
504,17.5,1965
505,18,2021
506,18,2021
507,18,2021
508,18,2021
509,18,2021
510,18,2021
511,18,2021
512,18,2021
513,18,2021
514,18,2021
515,18,2021
516,18,2021
517,18,2021
518,18,2021
519,18,2021
520,18,2021
521,18.5,2077
522,18.5,2077
523,18.5,2077
524,18.5,2077
525,18.5,2077
526,18.5,2077
527,18.5,2077
528,18.5,2077
529,18.5,2077
530,18.5,2077
531,18.5,2077
532,18.5,2077
533,18.5,2077
534,18.5,2077
535,18.5,2077
536,18.5,2077
537,19,2133
538,19,2133
539,19,2133
